accelX,accelY,accelZ,timestamp
-124.800003,35.100002,984.75,105042
-122.850006,33.150002,980.850037,105046
-124.800003,33.150002,988.650024,105050
-122.850006,27.300001,984.75,105054
-126.75,31.200001,986.700012,105058
-126.75,35.100002,984.75,105062
-124.800003,33.150002,982.800049,105066
-126.75,29.25,975,105070
-122.850006,27.300001,971.100037,105074
-132.600006,29.25,978.900024,105078
-126.75,31.200001,986.700012,105082
-126.75,33.150002,986.700012,105086
-126.75,25.35,982.800049,105090
-126.75,33.150002,980.850037,105094
-124.800003,37.049999,990.600037,105098
-126.75,35.100002,986.700012,105102
-126.75,29.25,982.800049,105106
-124.800003,27.300001,980.850037,105110
-132.600006,33.150002,984.75,105114
-128.699997,37.049999,984.75,105118
-128.699997,39,982.800049,105122
-130.650009,37.049999,988.650024,105126
-122.850006,35.100002,984.75,105130
-124.800003,31.200001,980.850037,105134
-130.650009,31.200001,982.800049,105138
-130.650009,27.300001,986.700012,105142
-124.800003,31.200001,982.800049,105146
-126.75,31.200001,984.75,105150
-130.650009,29.25,982.800049,105154
-128.699997,31.200001,978.900024,105158
-134.550003,27.300001,984.75,105162
-128.699997,31.200001,990.600037,105166
-128.699997,29.25,984.75,105170
-124.800003,39,988.650024,105174
-126.75,39,988.650024,105178
-128.699997,23.400002,980.850037,105182
-124.800003,33.150002,978.900024,105186
-128.699997,33.150002,984.75,105190
-128.699997,35.100002,986.700012,105194
-124.800003,35.100002,988.650024,105198
-124.800003,37.049999,978.900024,105202
-124.800003,33.150002,976.950012,105206
-122.850006,31.200001,980.850037,105210
-122.850006,33.150002,980.850037,105214
-124.800003,37.049999,980.850037,105218
-154.050003,35.100002,982.800049,105222
-126.75,25.35,980.850037,105226
-122.850006,33.150002,975,105230
-128.699997,33.150002,976.950012,105234
-122.850006,33.150002,982.800049,105238
-124.800003,37.049999,986.700012,105242
-124.800003,33.150002,978.900024,105246
-130.650009,40.950001,975,105250
-124.800003,35.100002,978.900024,105254
-126.75,35.100002,978.900024,105258
-124.800003,31.200001,984.75,105262
-128.699997,37.049999,988.650024,105266
-130.650009,35.100002,986.700012,105270
-126.75,35.100002,984.75,105274
-126.75,37.049999,978.900024,105278
-124.800003,29.25,978.900024,105282
-126.75,37.049999,978.900024,105286
-128.699997,33.150002,978.900024,105290
-126.75,31.200001,984.75,105294
-124.800003,31.200001,984.75,105298
-130.650009,27.300001,988.650024,105302
-126.75,25.35,984.75,105306
-122.850006,31.200001,984.75,105310
-128.699997,33.150002,982.800049,105314
-126.75,29.25,984.75,105318
-126.75,29.25,980.850037,105322
-130.650009,29.25,978.900024,105326
-128.699997,35.100002,982.800049,105330
-128.699997,29.25,976.950012,105334
-128.699997,31.200001,976.950012,105338
-122.850006,31.200001,978.900024,105342
